State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code
Total,20395016,16711644,223252,3451350,04-05-2021 19:12,8770,TT
Maharashtra,4771022,4041158,70851,656870,03-05-2021 20:08,2143,MH
Kerala,1701980,1339257,5508,356868,04-05-2021 18:16,347,KL
Karnataka,1646303,1185299,16250,444734,03-05-2021 20:08,20,KA
Andhra Pradesh,1163994,1003935,8207,151852,03-05-2021 19:31,0,AP
Tamil Nadu,1249292,1109450,14612,125230,04-05-2021 18:49,0,TN
Delhi,1212989,1105983,17414,89592,04-05-2021 01:28,0,DL
Uttar Pradesh,1361075,1075354,13766,271955,04-05-2021 19:12,0,UP
West Bengal,880894,749296,11637,119961,03-05-2021 21:15,0,WB
Odisha,479752,410227,2141,67384,04-05-2021 18:49,0,OR
Rajasthan,668221,466310,4866,197045,04-05-2021 19:12,0,RJ
Chhattisgarh,771701,641449,9275,120977,03-05-2021 23:20,0,CT
Telangana,463361,381365,2476,79520,04-05-2021 12:46,0,TG
Haryana,527773,418425,4626,104722,03-05-2021 22:27,0,HR
Gujarat,607422,452275,7648,147499,04-05-2021 02:11,0,GJ
Bihar,509047,398558,2821,107667,03-05-2021 22:27,1,BR
Madhya Pradesh,600430,508775,5905,85750,03-05-2021 22:27,0,MP
Assam,263450,234237,1389,26477,03-05-2021 22:27,1347,AS
Punjab,392042,321861,9472,60709,03-05-2021 22:27,0,PB
Jammu and Kashmir,191869,152109,2458,37302,04-05-2021 18:49,0,JK
Jharkhand,251371,188623,3073,59675,04-05-2021 01:28,0,JH
Uttarakhand,197023,134488,2930,55436,03-05-2021 20:08,4169,UT
Himachal Pradesh,107121,83679,1599,21788,03-05-2021 23:20,55,HP
Goa,100902,72799,1372,26731,04-05-2021 19:12,0,GA
Puducherry,63298,51584,865,10849,04-05-2021 12:46,0,PY
Tripura,35991,33812,397,1759,04-05-2021 13:09,23,TR
Manipur,32523,30030,422,2071,03-05-2021 22:27,0,MN
Chandigarh,45976,37288,518,8170,04-05-2021 19:12,0,CH
Arunachal Pradesh,18959,17363,59,1537,03-05-2021 23:20,0,AR
Meghalaya,18014,15810,185,2019,04-05-2021 18:49,0,ML
Nagaland,14451,12325,115,1584,03-05-2021 22:27,427,NL
Ladakh,14315,12884,148,1283,04-05-2021 09:14,0,LA
Sikkim,8468,6404,150,1723,03-05-2021 18:19,191,SK
Andaman and Nicobar Islands,6150,5850,70,230,03-05-2021 23:20,0,AN
Mizoram,6556,5168,17,1371,04-05-2021 18:49,0,MZ
Dadra and Nagar Haveli and Daman and Diu,8201,6359,4,1804,04-05-2021 19:12,34,DN
Lakshadweep,3080,1855,6,1206,03-05-2021 21:15,13,LD
State Unassigned,0,0,0,0,19-07-2020 09:40,0,UN
