dayofyear,Confirmed,Recovered,Deceased,Active
103,228030.0,184110.0,2481.0,41439.0
104,231990.0,184604.0,2505.0,44881.0
105,236829.0,187193.0,2518.0,47118.0
106,241108.0,188635.0,2547.0,49926.0
107,244956.0,201932.0,2574.0,40450.0
108,248741.0,203598.0,2579.0,42564.0
109,252573.0,209615.0,2622.0,40336.0
110,256586.0,209634.0,2672.0,44280.0
111,263354.0,214399.0,2701.0,46254.0
112,269042.0,219603.0,2732.0,46707.0
113,272466.0,225844.0,2773.0,43849.0
114,277258.0,232068.0,2808.0,42382.0
115,282066.0,236302.0,2865.0,42899.0
116,286503.0,240511.0,2882.0,43110.0
117,298939.0,244926.0,2951.0,51062.0
118,303688.0,248078.0,2999.0,52611.0
119,308118.0,252129.0,3034.0,52955.0
120,312814.0,259197.0,3068.0,50549.0
121,318258.0,265889.0,3113.0,49256.0
122,321081.0,268304.0,3148.0,49629.0
123,324761.0,270391.0,3174.0,51196.0
124,328172.0,279340.0,3226.0,45606.0
125,332021.0,282146.0,3333.0,46542.0
126,340893.0,296601.0,3450.0,40842.0
127,343738.0,299718.0,3585.0,40435.0
128,347987.0,304179.0,3666.0,40142.0
129,351045.0,307790.0,3715.0,39540.0
130,353279.0,314807.0,3716.0,34756.0
131,355347.0,324731.0,3809.0,26807.0
132,368126.7169647901,322804.2122764075,3716.4568631142915,41606.047825268266
133,373034.71169271326,327853.2162304652,3763.7144417247223,41417.78102052332
134,377942.70642063644,332902.2201845228,3810.972020335154,41229.514215778494
135,382850.70114855963,337951.2241385804,3858.2295989455847,41041.24741103367
136,387758.6958764828,343000.2280926381,3905.4871775560164,40852.98060628872
137,392666.690604406,348049.23204669566,3952.744756166447,40664.7138015439
138,397574.6853323292,353098.23600075324,4000.002334776879,40476.446996799066
139,402482.68006025226,358147.23995481094,4047.2599133873096,40288.18019205401
140,407390.67478817544,363196.2439088685,4094.517491997741,40099.91338730918
141,412298.6695160986,368245.2478629261,4141.7750706081715,39911.64658256435
142,417206.6642440218,373294.2518169837,4189.032649218603,39723.37977781953
143,422114.658971945,378343.2557710414,4236.290227829035,39535.11297307458
144,427022.6536998682,383392.25972509896,4283.5478064394665,39346.84616832975
145,431930.64842779137,388441.26367915655,4330.805385049896,39158.579363584926
146,436838.64315571456,393490.26763321424,4378.062963660328,38970.312558839985
146,436838.64315571456,393490.26763321424,4378.062963660328,38970.312558839985
147,441746.63788363774,398539.2715872718,4425.32054227076,38782.045754095154
148,446654.6326115609,403588.2755413294,4472.5781208811895,38593.77894935033
149,451562.6273394841,408637.2794953871,4519.835699491621,38405.51214460538
150,456470.6220674073,413686.2834494447,4567.093278102053,38217.24533986056
152,466286.61152325367,423784.29135755997,4661.608435322914,37840.711730370786
153,471194.60625117685,428833.29531161755,4708.866013933346,37652.44492562596
154,476102.60097910004,433882.29926567513,4756.123592543778,37464.17812088113
155,481010.5957070232,438931.3032197328,4803.381171154209,37275.91131613619
156,485918.5904349464,443980.3071737904,4850.638749764639,37087.644511391365
157,490826.5851628696,449029.311127848,4897.896328375071,36899.37770664653
158,495734.5798907928,454078.3150819057,4945.1539069855025,36711.110901901586
159,500642.57461871597,459127.3190359633,4992.411485595934,36522.84409715676
160,505550.56934663904,464176.32299002085,5039.669064206364,36334.57729241182
